Date,Sun-Rise-Time,Sun-Set-Time,Total-Sun-Time,Moon-Rise-1-Time,Moon-Set-1-Time,Moon-Rise-2-Time,Moon-Set-2-Time,Total-Moon-Time,Moon-Phase-Angle,Overlap-Sun-Moon-Start-Time,Overlap-Sun-Moon-End-Time,Total-Overlap-Time,Visible-Overlap-Sun-Moon-Start-Time,Visible-Overlap-Sun-Moon-End-Time,Total-Visible-Overlap-Time,No-Moon-No-Sun-Start-Time,No-Moon-No-Sun-End-Time,Total-No-Moon-No-Sun-Time,Total-Sun-Days,Total-Moon-Days,Total-Overlap-Days,Total-Visible-Overlap-Days,Total-No-Sun-No-Moon-Days
2022-04-17,06:21:11,17:50:38,11:29:26,,07:01:00,18:39:00,,12:22:00,188.43,06:21:11,07:01:00,0:39:48,06:21:11,07:01:00,0:39:48,17:50:38,18:39:00,0:48:22,,,,,
2022-04-18,06:21:36,17:49:47,11:28:11,,08:05:00,19:24:00,,12:41:00,202.43,06:21:36,08:05:00,1:43:24,06:21:36,08:05:00,1:43:24,17:49:47,19:24:00,1:34:13,,,,,
2022-04-19,06:22:00,17:48:56,11:26:56,,09:12:00,20:14:00,,12:58:00,215.43,06:22:00,09:12:00,2:49:59,06:22:00,09:12:00,2:49:59,17:48:56,20:14:00,2:25:03,,,,,
2022-04-20,06:22:25,17:48:07,11:25:42,,10:20:00,,,10:20:00,229.43,06:22:25,10:20:00,3:57:35,06:22:25,10:20:00,3:57:35,17:48:07,00:00:00,6:11:53,,,,,
2022-04-21,06:22:49,17:47:18,11:24:28,,11:26:00,22:13:00,,13:13:00,242.43,06:22:49,11:26:00,5:03:10,06:22:49,11:26:00,5:03:10,17:47:18,22:13:00,4:25:42,,,,,
2022-04-22,06:23:14,17:46:30,11:23:15,,12:27:00,23:18:00,,13:09:00,256.43,06:23:14,12:27:00,6:03:45,06:23:14,12:27:00,6:03:45,17:46:30,23:18:00,5:31:30,,,,,
2022-04-23,06:23:39,17:45:42,11:22:03,,13:21:00,,,13:21:00,269.43,06:23:39,13:21:00,6:57:20,06:23:39,13:21:00,6:57:20,17:45:42,00:00:00,6:14:17,,,,,
2022-04-24,06:24:05,17:44:55,11:20:51,00:23:00,14:08:00,,,13:45:00,282.43,06:24:05,14:08:00,7:43:55,,,0:00:00,00:00:00,00:00:00,6:38:04,,,,,
2022-04-25,06:24:30,17:44:09,11:19:39,01:26:00,14:50:00,,,13:24:00,295.43,06:24:30,14:50:00,8:25:29,,,0:00:00,00:00:00,00:00:00,7:41:50,,,,,
2022-04-26,06:24:56,17:43:24,11:18:28,02:26:00,15:26:00,,,13:00:00,307.43,06:24:56,15:26:00,9:01:04,,,0:00:00,00:00:00,00:00:00,8:42:35,,,,,
